anti-constitutional	ANTI CONSTITUTIONAL
insurer	INSURER
insurers	INSURER +(s)
insurgency	INSURGENCY
int	INT
inta	INTA
intakes	INTAKES
integrally	INTEGRALLY
intel	INTEL
intensifies	INTENSIFIES
inter-agency	INTER AGENCY
inter-alia	INTER ALIA
inter-connected	INTER CONNECTED
inter-dependent	INTER DEPENDENT
inter-ethnic	INTER ETHNIC
inter-linkages	INTER LINKAGES*
inter-linked	INTER LINKED*
inter-related	INTER RELATED
inter-state	INTER STATE
interactive	INTERACTIVE
interactivity	INTERACTIVITY
interahamwe	INTERAHAMWE
interception	INTERCEPTION
interceptions	INTERCEPTION +(s)
interconnection	INTERCONNECTION
interconnections	INTERCONNECTION +(s)
interconnectivity	INTERCONNECTIVITY
intercultural	INTERCULTURAL
interdependencies	(inter)+ DEPENDENCIES
interdependency	INTERDEPENDENCY
interdiction	INTERDICTION
interdisciplinary	INTERDISCIPLINARY
interfax	INTERFAX
interferences	INTERFERENCES
interferon	INTERFERON
interfet	INTERFET
interjection	INTERJECTION
interlinkages	(inter)+ LINKAGES*
interlinked	(inter)+ LINKED*
interlocutors	INTERLOCUTORS
intermediaries	INTERMEDIARIES
intermediation	INTERMEDIATION
interminably	INTERMINABLY
intermodal	INTERMODAL
intermodality	INTERMODALITY
internalisation	INTERNALISATION
internalization	INTERNALIZATION
internationalisation	INTERNATIONALISATION
internationalization	INTERNATIONALIZATION
internationaux	INTERNATIONAUX
internet	INTERNET
internment	INTERNMENT
internship	INTERNSHIP
internships	INTERNSHIP +(s)
interoperability	INTEROPERABILITY
interoperable	INTEROPERABLE
interpol	INTERPOL
interpreters	INTERPRETERS
interreg	INTERREG
interrelatedness	INTERRELATEDNESS
interrogated	INTERROGATED
interrogations	INTERROGATIONS
interrogatories	INTERROGATORIES
interrupting	INTERRUPTING
intersessional	INTERSESSIONAL
intersputnik	INTERSPUTNIK
interveners	INTERVENERS
intervenors	INTERVENORS
interventions	INTERVENTIONS
intifada	INTIFADA
intimidating	INTIMIDATING
intoxication	INTOXICATION
inuit	INUIT
inuvik	INUVIK
invalidation	INVALIDATION
invalidity	INVALIDITY
inventiveness	INVENTIVENESS
inventoried	INVENTORIED
invertebrates	INVERTEBRATES
invoice	INVOICE
invoiced	INVOICE +(d)
invoicing	INVOICE +(ing)
invokes	INVOKES
un-habitat	UN HABITAT
un-nadaf	UN NADAF
un-oceans	UN OCEANS
un-water	UN WATER
una	UNA
unabashedly	UNABASHEDLY
unacceptably	UNACCEPTABLY
unaffordable	UNAFFORDABLE
unaids	UNAIDS
unaltered	UNALTERED
unama	UNAMA
unamended	UNAMENDED
unamet	UNAMET
unami	UNAMI
unamid	UNAMI +(d)
unamir	UNAMIR
unamsil	UNAMSIL
unarguably	UNARGUABLY
unassailable	UNASSAILABLE
unat	UNA +(t)
unavailability	UNAVAILABILITY
unavem	UNAVEM
unbiased	UNBIASED
unblock	UNBLOCK
unblocked	UNBLOCK +(ed)
unbundling	UNBUNDLING
unc	UNC
uncalled-for	UNCALLED FOR
uncc	UNCC
unccd	UNCC +(d)
uncdf	UNCDF
unced	UNC +(ed)
unchr	UNCHR
unchs	UNCHS
uncitral	UNCITRAL
unclassified	UNCLASSIFIED
unclos	UNCLOS
uncompetitive	UNCOMPETITIVE
uncomplicated	UNCOMPLICATED
unconstitutionality	UNCONSTITUTIONALITY
uncontroversial	UNCONTROVERSIAL
uncool	UNCOOL
uncro	UNCRO
unctad	UNCTAD
undaf	UNDAF
undafs	UNDAF +(s)
undated	UNDATED
undcp	UNDCP
undecided	UNDECIDED
undemanding	UNDEMANDING
under-5	UNDER 5
under-age	UNDER AGE*
under-five	UNDER FIVE
under-funded	UNDER FUNDED*
under-inclusive	UNDER INCLUSIVE*
under-reporting	UNDER REPORTING
under-representation	UNDER REPRESENTATION
under-secretary	UNDER SECRETARY
under-secretary-general	UNDER SECRETARY GENERAL
underage	(under)+ AGE*
underdevelopment	UNDERDEVELOPMENT
underemployment	UNDEREMPLOYMENT
underestimation	UNDERESTIMATION
