Number of pairs: 3337
oleophilic	oleophobic
endocentric	exocentric
irresponsible	responsible
meaningfulness	meaninglessness
comprehension	incomprehension
irresponsibly	responsibly
loaded	unloaded
unvariedness	variedness
high_pitch	low_pitch
double-breasted	single-breasted
gratitude	ingratitude
contraindication	indication
acatalectic	hypercatalectic
immobile	mobile
flexibly	inflexibly
regenerate	unregenerate
erect	unerect
quickly	slowly
confident	diffident
roofed	roofless
destructible	indestructible
basic	incidental
expected	unexpected
flexible	inflexible
adroitly	maladroitly
exactness	inexactness
high_status	low_status
efficacy	inefficacy
eastern	western
nonsurgical	surgical
impermanence	permanence
affixed	unaffixed
coherent	incoherent
child	parent
daughter	son
puncturable	punctureless
reassuring	unreassuring
censored	uncensored
gracious	ungracious
applied	theoretical
east	west
affirm	negate
demonetization	monetization
shrink	stretch
illiteracy	literacy
suitably	unsuitably
inviolable	violable
atonic	tonic
act	refrain
imperfectibility	perfectibility
melted	unmelted
categorem	syncategorem
rightness	wrongness
balance	imbalance
precede	succeed
hand_mower	power_mower
provocative	unprovocative
dependability	undependability
defeated	undefeated
conditioned	unconditioned
exterior	interior
curved	straight
punctuality	tardiness
actable	unactable
damaged	undamaged
exportable	unexportable
nonrepetitive	repetitive
make	unmake
complex	simple
corrigible	incorrigible
be_active	rest
contaminate	decontaminate
demotion	promotion
couple	uncouple
fairly	unfairly
fair_ball	foul_ball
screw	unscrew
conjunctive	disjunctive
monotonic	nonmonotonic
evil	good
declarative	interrogative
depersonalize	personalize
seamed	seamless
downwardly	upwardly
tune	untune
believingly	unbelievingly
fat_person	thin_person
immaterial	material
forceful	forceless
humble	proud
in-basket	out-basket
approbation	disapprobation
coldness	hotness
perceptiveness	unperceptiveness
musical	unmusical
left	right
seasonal	year-round
apetalous	petalous
birth	death
just	unjust
congruousness	incongruousness
solvability	unsolvability
postnuptial	prenuptial
gravity	levity
assigned	unassigned
anabolism	catabolism
pronounceable	unpronounceable
human	nonhuman
closed_circuit	open_circuit
columned	noncolumned
abduct	adduct
desynchronizing	synchronizing
unvoiced	voiced
non-volatile_storage	volatile_storage
insubordination	subordination
shout	whisper
affinity	consanguinity
easy	uneasy
righteous	unrighteous
nonradioactive	radioactive
insensitive	sensitive
involuntary	voluntary
infield	outfield
posed	unposed
abient	adient
reportable	unreportable
auspicious	inauspicious
discreet	indiscreet
roughness	smoothness
background	foreground
malleability	unmalleability
sanitary	unsanitary
strap	unstrap
hairless	hairy
articulated	unarticulated
clearheaded	confused
disinclination	inclination
impolitic	politic
obvious	unobvious
immorally	morally
dishonest	honest
informative	uninformative
fearfully	fearlessly
arbitrary	nonarbitrary
insolubility	solubility
inopportuneness	opportuneness
captor	liberator
right	wrong
old	young
aptitude	inaptitude
successfully	unsuccessfully
deaf	hearing
a_la_carte	table_d'hote
dead	living
born	unborn
insincerely	sincerely
flatten	sharpen
multiple	single
animate	inanimate
immaturely	maturely
nobleman	noblewoman
theatrical	untheatrical
tracked	trackless
bottom	top
bridgeable	unbridgeable
creative	uncreative
nonthermal	thermal
attractiveness	unattractiveness
intolerant	tolerant
palatable	unpalatable
algorithmic	heuristic
bold	timid
deflation	inflation
constructive	destructive
cleanness	dirtiness
diploid	polyploid
bolt	unbolt
defensive	offensive
insanity	sanity
palatably	unpalatably
digestible	indigestible
impenetrable	penetrable
hairiness	hairlessness
trustworthy	untrustworthy
despair	hope
costive	laxative
steadily	unsteadily
abience	adience
obtrusiveness	unobtrusiveness
injudiciousness	judiciousness
crescendo	decrescendo
civil	sidereal
common_noun	proper_noun
float	sink
bound	free
intellectual	nonintellectual
down	up
respectable	unrespectable
asynchronism	synchronism
datable	undatable
consummated	unconsummated
coastal	inland
balanced	unbalanced
apophatism	doctrine_of_analogy
refined	unrefined
emigrate	immigrate
bigness	littleness
knowingly	unknowingly
appealingly	unappealingly
illicitness	licitness
destabilize	stabilize
aliquant	aliquot
corporeal	incorporeal
tame	wild
stuck	unstuck
impracticability	practicability
authorized	unauthorized
denationalization	nationalization
overhand	underhand
happy	unhappy
questionable	unquestionable
intolerance	tolerance
head	rear
gaseous	liquid
irreversibility	reversibility
overgarment	undergarment
conclusively	inconclusively
disinclined	inclined
feminine	neuter
allopathy	homeopathy
satisfactorily	unsatisfactorily
antemeridian	postmeridian
continuance	discontinuance
absent	present
holophytic	holozoic
inside	outside
attached	detached
maximum	minimum
generosity	stinginess
insincere	sincere
centralise	decentralize
skillfulness	unskillfulness
emotional	unemotional
inquiring	uninquiring
benignancy	malignancy
accelerate	decelerate
seaworthy	unseaworthy
gather	spread
proved	unproved
believably	unbelievably
covert	overt
abstract	concrete
endergonic	exergonic
convergent	divergent
ectomorphic	mesomorphic
humorlessly	humorously
knowable	unknowable
fraternal	identical
calcify	decalcify
approbate	reprobate
discriminate	indiscriminate
faithful	unfaithful
dying	nascent
no	yes
leafless	leafy
handmade	machine-made
loosening	tightening
handed	handless
reality	unreality
overbid	underbid
grammatical	ungrammatical
interested	uninterested
matriarchal	patriarchal
ambitious	unambitious
heterozygous	homozygous
tie	untie
unwilling	willing
intractability	tractability
traceable	untraceable
comprehensibility	incomprehensibility
sink	source
tasteful	tasteless
multiple-choice	true-false
preceding	succeeding
demonstrative	undemonstrative
defence	offence
connotative	denotative
acquaintance	stranger
impenetrability	penetrability
professional	unprofessional
